Nombre,Calories (kcal),Carbohydrates (g),Fats (g),Proteins (g),Sodium (mg)
Licuado tipico,241.10,39.30,7.00,7.15,160.00
Vive 100,125.00,28.00,0.00,0.00,150.00
1/2 mollete,237.50,27.50,10.00,10.00,436.25
Gringa,520.80,30.00,34.00,24.80,509.20
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Jicama,38.00,8.00,0.00,0.00,4.00
Licuado tipico,241.10,39.30,7.00,7.15,160.00
Quesadillas con pollo,514.47,31.00,30.53,27.80,0.00
La gran lucha,1100.00,61.10,36.05,49.00,400.00
Mundet,240.00,60.00,0.00,0.00,120.00
mollete,422.00,24.00,9.00,9.00,387.00
Jugo de naranja,112.00,25.00,0.00,1.00,2.00
Hot dog,110.00,0.00,10.00,5.00,420.00
Palomitas,280.00,24.00,8.00,2.00,20.00
Fuze tea,232.00,34.00,2.00,2.00,0.00
Jícama,57.00,12.00,0.00,0.00,6.00
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Squirt,140.00,39.00,0.00,0.00,50.00
Squirt,140.00,39.00,0.00,0.00,50.00
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Jícama,57.00,12.00,0.00,0.00,6.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Mantequilla,54.00,0.00,6.00,0.00,20.00
Azucar,58.05,14.85,0.00,0.00,0.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso asadero,333.30,3.33,26.67,20.00,0.00
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Avena,122.00,22.60,2.20,2.90,138.00
Avena,20.09,3.36,0.00,0.56,14.70
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Atún,130.20,3.25,0.55,28.07,222.00
Bistec,302.40,0.00,18.00,32.40,447.60
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso manchego,360.50,4.70,27.30,24.00,428.00
Bebida,377.50,60.50,0.00,0.00,75.00
Squirt,377.50,39.00,0.00,0.00,50.00
Bistec,201.60,0.00,12.00,21.60,298.40
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Requesón,234.00,6.00,14.40,19.80,924.00
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Bistec,201.60,0.00,12.00,21.60,298.40
Licuado tipico,20.75,11.00,165.00,0.00,0.00
Bebida,64.45,17.50,6.25,2.50,450.00
Rquesón,130.00,3.33,8.00,11.00,513.33
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Barrita,162.30,19.80,7.90,3.00,121.00
Queso manchego,216.30,2.82,16.38,14.40,256.80
Pasta,100.00,20.00,0.00,5.00,40.00
Frijoles de la olla,330.00,24.00,20.00,11.00,492.00
Licuado tipico,20.75,11.00,165.00,0.00,0.00
Mundet,240.00,60.00,0.00,0.00,120.00
Quesadilla,410.00,21.00,12.00,8.00,440.00
Taco,100.40,10.00,3.50,6.40,79.60
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Queso manchego,360.50,4.70,27.30,24.00,428.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Frijoles de la olla,330.00,24.00,20.00,11.00,492.00
Pasta,100.00,20.00,0.00,5.00,40.00
Sopa,50.00,2.00,0.00,1.00,1.00
Carne para hamburguesa,455.87,0.00,34.39,36.59,1842.96
Queso americano,105.30,5.94,5.94,7.02,594.00
Bimbollos,112.60,54.60,5.40,9.80,344.00
Licuado tipico,20.75,11.00,165.00,0.00,0.00
Quesadillas con pollo,514.47,31.00,30.53,27.80,0.00
1/2 mollete,190.00,22.00,8.00,8.00,349.00
Media taza frijoles fr,200.00,21.00,1.00,7.00,410.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Carne para hamburguesa,303.91,0.00,22.93,24.39,1228.64
Bimbollos,112.60,54.60,5.40,9.80,344.00
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Licuado tipico,20.75,11.00,165.00,0.00,0.00
Grand Turkey,470.00,57.00,15.00,20.00,0.00
Bistec,302.40,0.00,18.00,32.40,447.60
Sopa,25.00,1.00,0.00,0.50,0.50
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
2 cervezas,198.00,10.00,0.00,2.00,0.00
Media taza frijoles olla,299.00,71.50,2.60,27.30,410.00
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
5 tortillas,250.00,50.00,2.50,5.00,25.00
Crema 5 cu,190.00,0.00,15.00,0.00,40.00
3 Tacos dorados,915.00,144.00,45.00,0.00,150.00
Media taza frijoles fr,200.00,21.00,1.00,7.00,410.00
Galletas principe,400.00,32.00,40.00,16.00,200.00
Media taza leche de almendras,15.00,0.50,1.00,0.50,0.00
Media taza frijoles fr,200.00,21.00,1.00,7.00,410.00
Torillas de harina 3,235.66,41.67,5.22,5.50,737.42
Bistec,327.60,0.00,19.50,35.10,484.90
Carne para hamburguesa,455.87,0.00,34.39,36.59,1842.96
Queso americano,105.30,5.94,5.94,7.02,594.00
Bimbollos,112.60,54.60,5.40,9.80,344.00
Pasta,100.00,20.00,0.00,5.00,40.00
Frijoles de la olla,330.00,24.00,20.00,11.00,492.00
Licuado tipico,20.75,11.00,165.00,0.00,0.00
Bebida,64.45,17.50,6.25,2.50,450.00
Rquesón,130.00,3.33,8.00,11.00,513.33
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Barrita,162.30,19.80,7.90,3.00,121.00
Queso manchego,216.30,2.82,16.38,14.40,256.80
Pasta,100.00,20.00,0.00,5.00,40.00
Licuado tipico,20.75,11.00,165.00,0.00,0.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Sopa,25.00,1.00,0.00,0.50,0.50
Bistec,327.60,0.00,19.50,35.10,484.90
Queso asadero,333.30,3.33,26.67,20.00,0.00
Licuado tipico,20.75,11.00,165.00,0.00,0.00
mollete,422.00,24.00,9.00,9.00,387.00
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Quesadilla,410.00,21.00,12.00,8.00,440.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Bistec,327.60,0.00,19.50,35.10,484.90
mollete,422.00,24.00,9.00,9.00,387.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Quesadillas con pollo,514.47,31.00,30.53,27.80,0.00
Hot dog,110.00,0.00,10.00,5.00,420.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Pozole,220,17,7,22,423
Pozole,220,17,7,22,423
Salchichas,514.47,9.00,9.00,12.00,1176.00
Mantequilla,54.00,0.00,6.00,0.00,20.00
Azucar,58.05,14.85,0.00,0.00,0.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso asadero,333.30,3.33,26.67,20.00,0.00
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Pozole,220,17,7,22,423
Squirt,220.00,39.00,0.00,0.00,50.00
Torillas de harina 3,235.66,41.67,5.22,5.50,737.42
Bistec,327.60,0.00,19.50,35.10,484.90
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Squirt,391.35,39.00,0.00,0.00,50.00
Torillas de harina 3,235.66,41.67,5.22,5.50,737.42
Bistec,327.60,0.00,19.50,35.10,484.90
Squirt,327.60,39.00,0.00,0.00,50.00
Subway,389.00,40.00,17.00,19.00,1063.00
Torillas de harina 3,235.66,41.67,5.22,5.50,737.42
Bistec,327.60,0.00,19.50,35.10,484.90
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
1/2 mollete,237.50,27.50,10.00,10.00,436.25
Vive 100,125.00,28.00,0.00,0.00,150.00
La gran lucha,1100.00,61.10,36.05,49.00,400.00
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Cereal,110,27,0,1,115
Leche almendras,24,3,1,0,0
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Pizza,840,96,33,42,1680
Squirt,220.00,39.00,0.00,0.00,50.00
Pizza,840,96,33,42,1680
Galletas principe,400.00,32.00,40.00,16.00,200.00
2 cervezas,198.00,10.00,0.00,2.00,0.00
Cereal,110,27,0,1,115
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Skwinklote,140,33,1,0,370
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Bistec,327.60,0.00,19.50,35.10,484.90
Queso asadero,333.30,3.33,26.67,20.00,0.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Milanesa de pollo,268.5,1.5,15,28.5,1000.5
Squirt,220.00,39.00,0.00,0.00,50.00
Pizza,840,96,33,42,1680
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
mollete,422.00,24.00,9.00,9.00,387.00
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Squirt,220.00,39.00,0.00,0.00,50.00
Atún,130.20,3.25,0.55,28.07,222.00
Squirt,220.00,39.00,0.00,0.00,50.00
Cereal,110,27,0,1,115
Leche almendras,24,3,1,0,0
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Squirt,220.00,39.00,0.00,0.00,50.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
mollete,422.00,24.00,9.00,9.00,387.00
Pasta,100.00,20.00,0.00,5.00,40.00
Frijoles de la olla,330.00,24.00,20.00,11.00,492.00
Pasta,100.00,20.00,0.00,5.00,40.00
Frijoles de la olla,330.00,24.00,20.00,11.00,492.00
Cereal,110,27,0,1,115
Leche almendras,24,3,1,0,0
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Grand Turkey,470.00,57.00,15.00,20.00,0.00
Salchichas,330.00,9.00,9.00,12.00,1176.00
Mantequilla,54.00,0.00,6.00,0.00,20.00
Azucar,58.05,14.85,0.00,0.00,0.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso asadero,333.30,3.33,26.67,20.00,0.00
Bistec,327.60,0.00,19.50,35.10,484.90
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Quesadillas con pollo,514.47,31.00,30.53,27.80,0.00
Pizza,840,96,33,42,1680
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Atún,130.20,3.25,0.55,28.07,222.00
Avena,122.00,22.60,2.20,2.90,138.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
La gran lucha,1100.00,61.10,36.05,49.00,400.00
Mundet,125.00,28.00,0.00,0.00,150.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Pasta,100.00,20.00,0.00,5.00,40.00
Frijoles de la olla,330.00,24.00,20.00,11.00,492.00
Atún,130.20,3.25,0.55,28.07,222.00
Avena,122.00,22.60,2.20,2.90,138.00
Pizza,840,96,33,42,1680
Pizza,840,96,33,42,1680
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Pasta,100.00,20.00,0.00,5.00,40.00
Frijoles de la olla,330.00,24.00,20.00,11.00,492.00
Carls JR,1110.00,111.00,51.00,49.50,2250.00
Pizza,840,96,33,42,1680
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Grand Turkey,470.00,57.00,15.00,20.00,0.00
Squirt,220.00,39.00,0.00,0.00,50.00
Milanesa de pollo,268.5,1.5,15,28.5,1000.5
Pasta,100.00,20.00,0.00,5.00,40.00
Frijoles de la olla,330.00,24.00,20.00,11.00,492.00
Quesadillas con pollo,514.47,31.00,30.53,27.80,0.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Squirt,220.00,39.00,0.00,0.00,50.00
Milanesa de pollo,268.5,1.5,15,28.5,1000.5
Cereal,110,27,0,1,115
Leche almendras,24,3,1,0,0
Barrita,162.30,19.80,7.90,3.00,121.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Milanesa de pollo,268.5,1.5,15,28.5,1000.5
Squirt,220.00,39.00,0.00,0.00,50.00
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Squirt,220.00,39.00,0.00,0.00,50.00
Cereal,110,27,0,1,115
Leche almendras,24,3,1,0,0
Avena,122.00,22.60,2.20,2.90,138.00
Barrita,162.30,19.80,7.90,3.00,121.00
Pizza,840,96,33,42,1680
Squirt,220.00,39.00,0.00,0.00,50.00
Atún,130.20,3.25,0.55,28.07,222.00
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Pizza,840,96,33,42,1680
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Grand Turkey,470.00,57.00,15.00,20.00,0.00
Salchichas,514.47,9.00,9.00,12.00,1176.00
Mantequilla,54.00,0.00,6.00,0.00,20.00
Azucar,58.05,14.85,0.00,0.00,0.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso asadero,333.30,3.33,26.67,20.00,0.00
Avena,122.00,22.60,2.20,2.90,138.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Milanesa de pollo,268.5,1.5,15,28.5,1000.5
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Bistec,327.60,0.00,19.50,35.10,484.90
Queso asadero,333.30,3.33,26.67,20.00,0.00
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Milanesa de pollo,268.5,1.5,15,28.5,1000.5
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Salchichas,514.47,9.00,9.00,12.00,1176.00
Mantequilla,54.00,0.00,6.00,0.00,20.00
Azucar,58.05,14.85,0.00,0.00,0.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso asadero,333.30,3.33,26.67,20.00,0.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Milanesa de pollo,268.5,1.5,15,28.5,1000.5
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Grand Turkey,470.00,57.00,15.00,20.00,0.00
Squirt,220.00,39.00,0.00,0.00,50.00
Bistec,302.40,0.00,18.00,32.40,447.60
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso manchego,360.50,4.70,27.30,24.00,428.00
Bebida,377.50,60.50,0.00,0.00,75.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
La gran lucha,1100.00,61.10,36.05,49.00,400.00
Mundet,240.00,60.00,0.00,0.00,120.00
Pozole,220,17,7,22,423
Squirt,220.00,39.00,0.00,0.00,50.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Pozole,220,17,7,22,423
Squirt,220.00,39.00,0.00,0.00,50.00
Barrita,162.30,19.80,7.90,3.00,121.00
Avena,122.00,22.60,2.20,2.90,138.00
Pizza,840,96,33,42,1680
Media taza frijoles fr,200.00,21.00,1.00,7.00,410.00
Torillas de harina 3,235.66,41.67,5.22,5.50,737.42
Bistec,327.60,0.00,19.50,35.10,484.90
Pizza,840,96,33,42,1680
Bistec,302.40,0.00,18.00,32.40,447.60
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso manchego,360.50,4.70,27.30,24.00,428.00
Bebida,377.50,60.50,0.00,0.00,75.00
La gran lucha,1100.00,61.10,36.05,49.00,400.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Grand Turkey,470.00,57.00,15.00,20.00,0.00
Squirt,220.00,39.00,0.00,0.00,50.00
Pizza,840,96,33,42,1680
Cereal,110,27,0,1,115
Leche almendras,24,3,1,0,0
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Atún,130.20,3.25,0.55,28.07,222.00
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Bistec,302.40,0.00,18.00,32.40,447.60
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso manchego,360.50,4.70,27.30,24.00,428.00
Bebida,377.50,60.50,0.00,0.00,75.00
Milanesa de pollo,268.5,1.5,15,28.5,1000.5
Jugo de naranja,141.00,33.00,0.00,0.00,3.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Bistec,201.60,0.00,12.00,21.60,298.40
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Quesadillas con pollo,514.47,31.00,30.53,27.80,0.00
Pizza,840,96,33,42,1680
Atún,130.20,3.25,0.55,28.07,222.00
Pizza,840,96,33,42,1680
Bistec,201.60,0.00,12.00,21.60,298.40
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
mollete,422.00,24.00,9.00,9.00,387.00
Barrita,162.30,19.80,7.90,3.00,121.00
Pollo asado,297.00,16.00,18.00,15.00,574.00
Squirt,220.00,39.00,0.00,0.00,50.00
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Salchichas,514.47,9.00,9.00,12.00,1176.00
Mantequilla,54.00,0.00,6.00,0.00,20.00
Azucar,58.05,14.85,0.00,0.00,0.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso asadero,333.30,3.33,26.67,20.00,0.00
Atún,130.20,3.25,0.55,28.07,222.00
Pasta alfredo,360.00,39.00,19.00,9.00,790.00
Bebida,377.50,60.50,0.00,0.00,75.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Grand Turkey,470.00,57.00,15.00,20.00,0.00
Squirt,220.00,39.00,0.00,0.00,50.00
"Comida (frij, bist, quesadi)",718.09,64.85,32.15,37.24,489.64
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Grand Turkey,470.00,57.00,15.00,20.00,0.00
Squirt,220.00,39.00,0.00,0.00,50.00
Pasta alfredo,360.00,39.00,19.00,9.00,790.00
Pan hot dogs,342.00,63.00,3.00,9.00,516.00
Salchichas,195.00,9.00,9.00,12.00,1176.00
Cereal,110,27,0,1,115
Leche almendras,24,3,1,0,0
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Pasta alfredo,360.00,39.00,19.00,9.00,790.00
Squirt,220.00,39.00,0.00,0.00,50.00
Atún,130.20,3.25,0.55,28.07,222.00
Salchichas,514.47,9.00,9.00,12.00,1176.00
Mantequilla,54.00,0.00,6.00,0.00,20.00
Azucar,58.05,14.85,0.00,0.00,0.00
Torillas de harina 3,353.49,62.50,7.83,8.25,1106.13
Queso asadero,333.30,3.33,26.67,20.00,0.00
Licuado tipico,391.35,42.78,20.75,11.00,165.00
Subway,389.00,40.00,17.00,19.00,1063.00
Llipton,130.00,20.00,0.00,0.00,100.00
Pozole,220,17,7,22,423
Squirt,220.00,39.00,0.00,0.00,50.00
Barrita,162.30,19.80,7.90,3.00,121.00
Atún,130.20,3.25,0.55,28.07,222.00
Pizza,840,96,33,42,1680
Atún,130.20,3.25,0.55,28.07,222.00
Pasta alfredo,360.00,39.00,19.00,9.00,790.00
